,id,full_name,birthdate,gender,party,profession,district_number,district_name,mandate,potential_handle
263,11005019,Katharina Beck,13.04.1982,weiblich,BÜNDNIS 90/DIE GRÜNEN,Unternehmensberaterin für Nachhaltigkeit,21,Hamburg-Nord,Landesliste,katharinabeck.bsky.social
96,11004263,Katharina Dröge,16.09.1984,weiblich,BÜNDNIS 90/DIE GRÜNEN,Volkswirtin,94,Köln III,Direktwahl,katharinadroege.bsky.social
8,11003132,Katrin Dagmar Göring-Eckardt,03.05.1966,weiblich,BÜNDNIS 90/DIE GRÜNEN,MdB,192,Erfurt – Weimar – Weimarer Land II,Landesliste,
385,11005242,Katrin Uhlig,05.07.1982,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Kulturwirtin,95,Bonn,Landesliste,katrinuhlig.bsky.social
308,11005095,Lamya Kaddor,11.06.1978,weiblich,BÜNDNIS 90/DIE GRÜNEN,"Islamwissenschaftlerin, Lehrerin für islamischen Religionsunterricht, Publizistin",114,Duisburg I,Landesliste,lamyakaddor.bsky.social
280,11005047,Leon Eckert,09.04.1995,männlich,BÜNDNIS 90/DIE GRÜNEN,Kommunalreferent,213,Freising,Landesliste,leon-eckert.de
298,11005078,Linda Heitmann,02.08.1982,weiblich,BÜNDNIS 90/DIE GRÜNEN,Geschäftsführung in der Suchtkrankenhilfe,19,Hamburg-Altona,Direktwahl,linda-altona.bsky.social
163,11004659,Lisa Badum,02.10.1983,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin,235,Bamberg,Landesliste,lisa-badum.de
81,11004127,Lisa Paus,19.09.1968,weiblich,BÜNDNIS 90/DIE GRÜNEN,,79,Berlin-Charlottenburg-Wilmersdorf,Landesliste,lisapaus.bsky.social
90,11004243,Luise Amtsberg,17.10.1984,weiblich,BÜNDNIS 90/DIE GRÜNEN,,5,Kiel,Direktwahl,luiseamtsberg.bsky.social
264,11005022,Lukas Benner,20.02.1996,männlich,BÜNDNIS 90/DIE GRÜNEN,Jurist,86,Aachen I,Landesliste,noraschulte.bsky.social
252,11004969,Marcel Emmerich,12.05.1991,männlich,BÜNDNIS 90/DIE GRÜNEN,Wissenschaftlicher Referent,291,Ulm,Landesliste,herremmerich.bsky.social
372,11005212,Marlene Schönberger,06.12.1990,weiblich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftlerin (M. A.),229,Rottal-Inn,Landesliste,marleneschonberger.bsky.social
103,11004278,Matthias Gastel,26.12.1970,männlich,BÜNDNIS 90/DIE GRÜNEN,,262,Nürtingen,Landesliste,matthias-gastel.de
329,11005134,Max Lucks,19.04.1997,männlich,BÜNDNIS 90/DIE GRÜNEN,Sozialwissenschaftler (B.A.),139,Bochum I,Landesliste,
312,11005102,Michael Kellner,08.05.1977,männlich,BÜNDNIS 90/DIE GRÜNEN,Politiker,57,Uckermark – Barnim I,Landesliste,mikellner.bsky.social
314,11005104,Misbah Khan,04.12.1989,weiblich,BÜNDNIS 90/DIE GRÜNEN,,207,Neustadt – Speyer,Landesliste,misbahkhan.bsky.social
387,11005245,Niklas Wagener,16.04.1998,männlich,BÜNDNIS 90/DIE GRÜNEN,Abgeordneter,246,Aschaffenburg,Landesliste,niklaswagener.bsky.social
376,11005224,Nyke Slawik,07.01.1994,weiblich,BÜNDNIS 90/DIE GRÜNEN,Bundestagsabgeordnete,100,Leverkusen – Köln IV,Landesliste,nykeslawik.bsky.social
52,11003881,Omid Nouripour,18.06.1975,männlich,BÜNDNIS 90/DIE GRÜNEN,"Selbstständiger Berater (Tätigkeit ruht, solange MdB)",182,Frankfurt am Main II,Landesliste,nouripour.bsky.social
358,11005187,Prof. Dr. Anja Reinalter,01.05.1970,weiblich,BÜNDNIS 90/DIE GRÜNEN,Professorin für Soziale Arbeit,292,Biberach,Landesliste,
293,11005070,Prof. Dr. Armin Grau,18.03.1959,männlich,BÜNDNIS 90/DIE GRÜNEN,Arzt,206,Ludwigshafen/Frankenthal,Landesliste,
527,11005519,Rebecca Lenhard,24.05.1995,weiblich,BÜNDNIS 90/DIE GRÜNEN,IT-Beraterin,243,Nürnberg-Nord,Landesliste,rebecca-lenhard.bsky.social
324,11005121,Ricarda Lang,17.01.1994,weiblich,BÜNDNIS 90/DIE GRÜNEN,Abgeordnete,269,Backnang – Schwäbisch Gmünd,Landesliste,ricardalang.bsky.social
388,11005246,Robin Wagener,16.08.1980,männlich,BÜNDNIS 90/DIE GRÜNEN,Richter,134,Lippe I,Landesliste,robinwagener.bsky.social
591,11005584,Sandra Stein,22.10.1986,weiblich,BÜNDNIS 90/DIE GRÜNEN,Unternehmerin,146,Hochsauerlandkreis,Landesliste,sandrastein.bsky.social
345,11005164,Sara Nanni,29.05.1987,weiblich,BÜNDNIS 90/DIE GRÜNEN,Friedens- und Konfliktforscherin,106,Düsseldorf II,Landesliste,sarananni.bsky.social
343,11005162,Sascha Müller,24.04.1970,männlich,BÜNDNIS 90/DIE GRÜNEN,Sportjournalist,244,Nürnberg-Süd,Landesliste,saschamk.bsky.social
286,11005059,Schahina Gambir,06.06.1991,weiblich,BÜNDNIS 90/DIE GRÜNEN,,133,Minden-Lübbecke I,Landesliste,schahinagambir.bsky.social
467,11005459,Simone Fischer,24.06.1979,weiblich,BÜNDNIS 90/DIE GRÜNEN,Beamtin,258,Stuttgart I,Direktwahl,simonefischer258.bsky.social
229,11004877,Stefan Schmidt,19.05.1981,männlich,BÜNDNIS 90/DIE GRÜNEN,Lehrer,232,Regensburg,Landesliste,stefanschmidt.bsky.social
2,11002720,Steffi Lemke,19.01.1968,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Agraringenieurin,70,Anhalt – Dessau – Wittenberg,Landesliste,steffi-lemke.de
204,11004801,Sven Lehmann,04.12.1979,männlich,BÜNDNIS 90/DIE GRÜNEN,,93,Köln II,Direktwahl,sven-lehmann.eu
337,11005152,Swantje Henrike Michaelsen,04.10.1979,weiblich,BÜNDNIS 90/DIE GRÜNEN,Historikerin M. A.,42,Stadt Hannover II,Landesliste,
564,11005556,Sylvia Rietenberg,20.07.1965,weiblich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Sozialarbeiterin,128,Münster,Direktwahl,
410,11005402,Tarek Al-Wazir,03.01.1971,männlich,BÜNDNIS 90/DIE GRÜNEN,Dipl.-Politologe,184,Offenbach,Landesliste,
453,11005445,Timon Dzienus,25.05.1996,männlich,BÜNDNIS 90/DIE GRÜNEN,Politikwissenschaftler,41,Stadt Hannover I,Landesliste,dzienus.bsky.social
396,11005259,Tina Winklmann,26.02.1980,weiblich,BÜNDNIS 90/DIE GRÜNEN,Verfahrensmechanikerin für Kunststoff- und Kautschuktechnik,233,Schwandorf,Landesliste,
135,11004395,Ulle Schauws,30.04.1966,weiblich,BÜNDNIS 90/DIE GRÜNEN,Film- und Fernsehwissenschaftlerin,113,Krefeld II – Wesel II,Landesliste,ulleschauws.bsky.social
440,11005432,Victoria Broßart,24.09.1992,weiblich,BÜNDNIS 90/DIE GRÜNEN,Ingenieurin,221,Rosenheim,Landesliste,victoriabrossart.bsky.social
478,11005470,Adrian Grasse,20.01.1975,männlich,CDU,"Industriekaufmann, Dipl.-Kaufmann",78,Berlin-Steglitz-Zehlendorf,Direktwahl,
142,11004415,Albert Stegemann,09.03.1976,männlich,CDU,Landwirtschaftsmeister,31,Mittelems,Direktwahl,
499,11005491,Alexander Jordan,21.11.1981,männlich,CDU,Dipl.-Ingenieur (FH) Elektrotechnik / Informationstechnik,51,Helmstedt – Wolfsburg,Direktwahl,jordanstein.bsky.social
240,11004917,Alexander Throm,08.09.1968,männlich,CDU,Rechtsanwalt,267,Heilbronn,Direktwahl,
42,11003780,Andreas Jung,13.05.1975,männlich,CDU,Rechtsanwalt,287,Konstanz,Direktwahl,andreas-jung.com
77,11004108,Andreas Mattfeldt,28.09.1969,männlich,CDU,Industriekaufmann,34,Osterholz – Verden,Direktwahl,
114,11004323,Anja Karliczek,29.04.1971,weiblich,CDU,"Dipl.-Kauffrau, Hotelfachfrau, Bankkauffrau",127,Steinfurt III,Direktwahl,
408,11005400,Anna Aeikens,15.08.1998,weiblich,CDU,Selbständige Agrarökonomin,67,Börde – Salzlandkreis,Landesliste,
307,11005093,Anne Janssen,31.08.1982,weiblich,CDU,"Krankenschwester, Lehrerin",26,Friesland – Wilhelmshaven – Wittmund,Landesliste,
319,11005110,Anne König,04.12.1984,weiblich,CDU,Gesamtschulrektorin,125,Borken II,Direktwahl,
67,11004056,Ansgar Heveling,03.07.1972,männlich,CDU,Ministerialbeamter (Oberregierungsrat a. D.),109,Krefeld I – Neuss II,Direktwahl,
1,11002718,Armin Laschet,18.02.1961,männlich,CDU,Ministerpräsident a. D.,86,Aachen I,Direktwahl,
146,11004425,Astrid Timmermann-Fechter,22.06.1963,weiblich,CDU,Bundestagsabgeordnete,117,Mülheim – Essen I,Landesliste,
71,11004073,Axel Knoerig,01.03.1967,männlich,CDU,Kommunal- und Politikwissenschaftler,33,Diepholz – Nienburg I,Direktwahl,
210,11004829,Axel Müller,24.07.1963,männlich,CDU,Vorsitzender Richter am Landgericht a. D.,294,Ravensburg,Direktwahl,
459,11005451,Bastian Ernst,30.01.1987,männlich,CDU,Betriebswirt,28,Delmenhorst – Wesermarsch – Oldenburg-Land,Direktwahl,
443,11005435,Benedikt Büdenbender,31.07.1989,männlich,CDU,Kommunikationsberater,147,Siegen-Wittgenstein,Direktwahl,
236,11004893,Björn Simon,18.05.1981,männlich,CDU,"Politologe, Magister Artium (M.A.)",184,Offenbach,Direktwahl,
571,11005563,Carl-Philipp Sassenrath,26.02.1990,männlich,CDU,"Volljurist, Ministerialbeamter",107,Neuss I,Direktwahl,
433,11005425,Caroline Bosbach,27.11.1989,weiblich,CDU,Wirtschaftswissenschaftlerin/Regulierungsmanagerin,99,Rheinisch-Bergischer Kreis,Direktwahl,
117,11004332,Carsten Körber,11.06.1979,männlich,CDU,"Betriebswirt, Politikwissenschaftler",164,Zwickau,Landesliste,
46,11003815,Carsten Müller,08.05.1970,männlich,CDU,"Bankkaufmann, Rechtsanwalt",50,Braunschweig,Landesliste,cwmsoils.bsky.social
364,11005198,Catarina Santos Firnhaber,08.07.1994,weiblich,CDU,Rechtsanwältin,87,Aachen II,Direktwahl,
105,11004286,Christian Haase,06.05.1966,männlich,CDU,Dipl.-Verwaltungswirt,135,Höxter – Gütersloh III – Lippe II,Direktwahl,homegrownhuman.bsky.social
53,11003890,Christian Hirte,23.05.1976,männlich,CDU,"Rechtsanwalt, Fachanwalt für Steuerrecht",189,Eisenach – Wartburgkreis – Unstrut-Hainich-Kreis,Landesliste,
33,11003639,Christian Stetten,24.07.1970,männlich,CDU,selbständiger Kaufmann,268,Schwäbisch Hall – Hohenlohe,Direktwahl,
380,11005235,Christina Stumpp,16.11.1987,weiblich,CDU,Verwaltungswirtin und Steuerrechtlerin LL.B.,264,Waiblingen,Direktwahl,
469,11005461,Christoph Frauenpreiß,15.11.1984,männlich,CDU,Dipl.-Bankbetriebswirt (FS),29,Cuxhaven – Stade II,Direktwahl,
243,11004926,Christoph Vries,04.12.1974,männlich,CDU,"Dipl.-Soziologe, ltd. Angestellter",18,Hamburg-Mitte,Landesliste,
514,11005506,Daniel Kölbl,29.10.1993,männlich,CDU,"Bankkaufmann, Abteilungsdirektor",7,Pinneberg,Direktwahl,
479,11005471,David Gregosz,10.10.1983,männlich,CDU,Unternehmer,188,Eichsfeld – Nordhausen – Kyffhäuserkreis,Landesliste,
84,11004152,Detlef Seif,15.08.1962,männlich,CDU,Rechtsanwalt,91,Euskirchen – Rhein-Erft-Kreis II,Direktwahl,
489,11005481,Diana Herbstreuth,27.02.1981,weiblich,CDU,Berufssoldatin,194,Saalfeld-Rudolstadt – Saale-Holzland-Kreis – Saale-Orla-Kreis,Landesliste,
85,11004168,Dieter Stier,29.06.1964,männlich,CDU,"Zootechniker/Mechanisator, Dipl.-Ing.agr., Pferdewirtschaftsmeister",72,Burgenland – Saalekreis,Landesliste,
173,11004684,Dr. Carsten Brodesser,05.09.1967,männlich,CDU,Ltd. Angestellter,98,Oberbergischer Kreis,Direktwahl,
74,11004098,Dr. Carsten Linnemann,10.08.1977,männlich,CDU,Volkswirt,136,Paderborn,Direktwahl,
369,11005205,Dr. Christiane Schenderlein,17.10.1981,weiblich,CDU,Politikwissenschaftlerin,150,Nordsachsen,Landesliste,
221,11004854,Dr. Christoph Ploß,19.07.1985,männlich,CDU,Historiker,21,Hamburg-Nord,Direktwahl,
415,11005407,Dr. Cornell-Anette Babendererde,01.03.1971,weiblich,CDU,Historikerin,36,Harburg,Direktwahl,
554,11005546,Dr. David Preisendanz,04.01.1984,männlich,CDU,Rechtsanwalt,261,Esslingen,Direktwahl,
115,11004327,Dr. Georg Kippels,21.09.1959,männlich,CDU,Rechtsanwalt,90,Rhein-Erft-Kreis I,Direktwahl,
112,11004305,Dr. Hendrik Hoppenstedt,14.06.1972,männlich,CDU,"Jurist, Staatsminister a. D., Bürgermeister a. D.",43,Hannover-Land I,Direktwahl,
292,11005069,Dr. Ingeborg Gräßle,02.03.1961,weiblich,CDU,Journalistin,269,Backnang – Schwäbisch Gmünd,Direktwahl,
75,11004100,Dr. Jan-Marco Luczak,02.10.1975,männlich,CDU,Rechtsanwalt,80,Berlin-Tempelhof-Schöneberg,Landesliste,
87,11004182,Dr. Johann Wadephul,10.02.1963,männlich,CDU,Rechtsanwalt,4,Rendsburg-Eckernförde,Direktwahl,
594,11005587,Dr. Katja Strauss-Köster,19.08.1970,weiblich,CDU,"Bürgermeisterin (2009-2025), Dr.-Ing. Raumplanerin",138,Ennepe-Ruhr-Kreis II,Direktwahl,
394,11005257,Dr. Klaus Wiener,21.08.1962,männlich,CDU,Volkswirt,103,Mettmann I,Direktwahl,
393,11005254,Dr. Maria-Lena Weiss,04.04.1981,weiblich,CDU,Rechtsanwältin,285,Rottweil – Tuttlingen,Direktwahl,
356,11005185,Dr. Markus Reichel,15.07.1968,männlich,CDU,"Dipl.-Mathematiker, Geschäftsführer",158,Dresden I,Landesliste,
270,11005033,Dr. Marlon Bröhr,03.04.1974,männlich,CDU,"Zahnarzt, Landrat a. D.",199,Mosel/Rhein-Hunsrück,Direktwahl,
354,11005182,Dr. Martin Plum,26.02.1982,männlich,CDU,Richter a. D.,110,Viersen,Direktwahl,
78,11004110,Dr. Mathias Middelberg,14.12.1964,männlich,CDU,Volljurist,39,Stadt Osnabrück,Direktwahl,
3,11002733,Dr. Michael Meister,09.06.1961,männlich,CDU,Dipl.-Mathematiker,187,Bergstraße,Direktwahl,
6,11002765,Dr. Norbert Röttgen,02.07.1965,männlich,CDU,Rechtsanwalt,97,Rhein-Sieg-Kreis II,Direktwahl,
386,11005244,Dr. Oliver Vogt,15.07.1977,männlich,CDU,"Dipl.-Physiker, Gymnasiallehrer",133,Minden-Lübbecke I,Direktwahl,
316,11005106,Dr. Ottilie Klein,14.02.1984,weiblich,CDU,Abteilungsdirektorin,81,Berlin-Neukölln,Landesliste,
250,11004954,Dr. Saskia Ludwig,23.05.1968,weiblich,CDU,Dipl.-Kauffrau,60,BRB a.d.Havel– Potsdam-MittelmarkI –HVL III–Teltow-Fläming I,Landesliste,
516,11005508,Dr. Stefan Korbach,16.03.1958,männlich,CDU,Dipl.-Kaufmann,178,Wiesbaden,Direktwahl,
344,11005163,Dr. Stefan Nacke,27.01.1976,männlich,CDU,"Soziologe, Sozialethiker",128,Münster,Landesliste,
62,11004038,Dr. Thomas Gebhart,20.12.1971,männlich,CDU,"Magister (Politikwissenschaft, Betriebswirtschaftslehre)",210,Südpfalz,Direktwahl,
550,11005542,Dr. Thomas Pauls,03.10.1986,männlich,CDU,,176,Wetterau I,Direktwahl,
271,11005035,Dr. Yannick Bury,11.03.1990,männlich,CDU,Volkswirt,283,Emmendingen – Lahr,Direktwahl,
51,11003865,Elisabeth Winkelmeier-Becker,15.09.1962,weiblich,CDU,Richterin,96,Rhein-Sieg-Kreis I,Direktwahl,
447,11005439,Ellen Demuth,10.07.1982,weiblich,CDU,Dipl.-Betriebswirtin (FH),196,Neuwied,Direktwahl,
291,11005068,Fabian Gramling,05.04.1987,männlich,CDU,Bundestagsabgeordneter,266,Neckar-Zaber,Direktwahl,
232,11004883,Felix Schreiner,29.01.1986,männlich,CDU,,288,Waldshut,Direktwahl,
425,11005417,Florian Bilic,10.01.1994,männlich,CDU,Hauptgeschäftsführer,209,Pirmasens,Direktwahl,
342,11005160,Florian Müller,14.09.1987,männlich,CDU,Strategiereferent,148,Olpe – Märkischer Kreis I,Direktwahl,florianmue.bsky.social
544,11005536,Florian Oest,25.08.1987,männlich,CDU,Jurist und Betriebswirt,156,Görlitz,Landesliste,
302,11005087,Franziska Hoppermann,08.01.1982,weiblich,CDU,"Senatsdirektorin, Dipl.-Kauffrau",22,Hamburg-Wandsbek,Landesliste,
436,11005428,Frederik Bouffier,07.10.1990,männlich,CDU,Rechtsanwalt,172,Gießen,Direktwahl,
4,11002735,Friedrich Merz,11.11.1955,männlich,CDU,Rechtsanwalt,146,Hochsauerlandkreis,Direktwahl,herzstattmerz.bsky.social
104,11004285,Fritz Güntzler,06.05.1966,männlich,CDU,"Wirtschaftsprüfer, Steuerberater",53,Göttingen I,Direktwahl,
483,11005475,Georg Günther,14.05.1988,männlich,CDU,Dipl.-Finanzwirt (FH),15,Vorpommern-Rügen – Vorpommern-Greifswald I,Landesliste,
17,11003514,Gitta Connemann,10.05.1964,weiblich,CDU,"Verkäuferin, Volljuristin",25,Unterems,Direktwahl,
22,11003573,Gunther Krichbaum,04.05.1964,männlich,CDU,Wirtschaftsjurist,279,Pforzheim,Direktwahl,
545,11005537,Harald Orthey,25.06.1968,männlich,CDU,Betriebswirt (VWA),203,Montabaur,Direktwahl,
47,11003821,Henning Otte,27.10.1968,männlich,CDU,,44,Celle – Uelzen,Direktwahl,
355,11005184,Henning Rehbaum,10.09.1973,männlich,CDU,Dipl.-Betriebswirt (FH),129,Warendorf,Direktwahl,
578,11005570,Henri Schmidt,07.05.1983,männlich,CDU,Geschäftsführer,10,Herzogtum Lauenburg – Stormarn-Süd,Direktwahl,henrismitch.bsky.social
99,11004269,Hermann Färber,26.03.1963,männlich,CDU,Landwirtschaftsmeister,263,Göppingen,Direktwahl,
121,11004352,Jan Metzler,05.07.1981,männlich,CDU,"Winzer, Dipl.-Betriebswirt (FH)",205,Worms,Direktwahl,
552,11005544,Jan-Wilhelm Pohlmann,31.07.1986,männlich,CDU,Politik- und Verwaltungswissenschaftlicher,166,Waldeck,Direktwahl,
203,11004800,Jens Lehmann,19.12.1967,männlich,CDU,Erzieher,151,Leipzig I,Landesliste,benniikl.bsky.social
32,11003638,Jens Spahn,16.05.1980,männlich,CDU,Bankkaufmann,123,Steinfurt I – Borken I,Direktwahl,
455,11005447,Joachim Ebmeyer,30.01.1985,männlich,CDU,Volkswirt,132,Herford – Minden-Lübbecke II,Direktwahl,
565,11005557,Johannes Rothenberger,07.08.1980,männlich,CDU,Rechtsanwalt,284,Offenburg,Direktwahl,
144,11004418,Johannes Steiniger,18.06.1987,männlich,CDU,"Gymnasiallehrer, MdB",207,Neustadt – Speyer,Direktwahl,
609,11005602,Johannes Volkmann,11.12.1996,männlich,CDU,"Volkswirt, Sinologe",171,Lahn-Dill,Direktwahl,
617,11005610,Johannes Wiegelmann,02.02.1993,männlich,CDU,Rechtsanwalt,174,Main-Kinzig – Wetterau II – Schotten,Direktwahl,
619,11005612,Johannes Winkel,28.10.1991,männlich,CDU,Volljurist,106,Düsseldorf II,Direktwahl,
216,11004845,Josef Oster,04.01.1971,männlich,CDU,"Dipl.-Verwaltungswirt (FH), Bürgermeister a. D.",198,Koblenz,Direktwahl,
21,11003566,Julia Klöckner,16.12.1972,weiblich,CDU,"Chefredakteurin, Bundesministerin a. D.",200,Kreuznach,Direktwahl,dorokloeckner.bsky.social
65,11004050,Jürgen Hardt,30.05.1963,männlich,CDU,Dipl.-Volkswirt,102,Solingen – Remscheid – Wuppertal II,Direktwahl,
152,11004443,Kai Whittaker,10.04.1985,männlich,CDU,Wirtschaftswissenschaftler M. Sc.,273,Rastatt,Direktwahl,
128,11004382,Kerstin Radomski,01.11.1974,weiblich,CDU,Studienrätin,113,Krefeld II – Wesel II,Direktwahl,
242,11004924,Kerstin Vieregge,06.09.1976,weiblich,CDU,staatlich geprüfte Betriebswirtin,134,Lippe I,Direktwahl,
332,11005138,Klaus Mack,28.04.1973,männlich,CDU,"Dipl,-Verwaltungswirt (FH)",280,Calw,Direktwahl,
14,11003264,Klaus-Peter Willsch,28.02.1961,männlich,CDU,Dipl.-Volkswirt,177,Rheingau-Taunus – Limburg,Direktwahl,
254,11005002,Knut Abraham,04.06.1966,männlich,CDU,Diplomat,65,Elbe-Elster – Oberspreewald-Lausitz,Landesliste,
457,11005449,Lars Ehm,09.04.1976,männlich,CDU,Volljurist,121,Recklinghausen II,Direktwahl,
359,11005190,Lars Rohwer,01.02.1972,männlich,CDU,Bankkaufmann,159,Dresden II – Bautzen II,Landesliste,larsrohwer.bsky.social
430,11005422,Leif Erik Bodin,20.06.1996,männlich,CDU,Jurist,2,Nordfriesland – Dithmarschen Nord,Direktwahl,
522,11005514,Lukas Krieger,11.11.1987,männlich,CDU,Rechtsanwalt,79,Berlin-Charlottenburg-Wilmersdorf,Direktwahl,
439,11005431,Lutz Brinkmann,27.12.1975,männlich,CDU,selbstständiger Dipl.-Bauingenieur,38,Osnabrück-Land,Direktwahl,
168,11004673,Marc Biadacz,03.09.1979,männlich,CDU,Sozialwissenschaftler,260,Böblingen,Direktwahl,
189,11004744,Marc Henrichmann,01.06.1976,männlich,CDU,Rechtsanwalt,126,Coesfeld – Steinfurt II,Direktwahl,
399,11005263,Mareike Lotte Wulf,15.11.1979,weiblich,CDU,Verbandsgeschäftsführerin,46,Hameln-Pyrmont – Holzminden,Landesliste,
110,11004298,Mark Helfrich,08.09.1978,männlich,CDU,Betriebswirt,3,Steinburg – Dithmarschen Süd,Direktwahl,
116,11004331,Markus Koob,05.12.1977,männlich,CDU,,175,Hochtaunus,Direktwahl,
586,11005579,Marvin Schulz,14.11.1994,männlich,CDU,Angestellter,76,Berlin-Reinickendorf,Direktwahl,
108,11004292,Matthias Hauer,18.12.1977,männlich,CDU,Rechtsanwalt,119,Essen III,Direktwahl,matthiashauer.bsky.social
66,11004052,Mechthild Heil,23.08.1961,weiblich,CDU,Dipl.-Ing. Architektin,197,Ahrweiler,Direktwahl,
166,11004670,Melanie Bernstein,28.09.1976,weiblich,CDU,Kulturwissenschaftlerin,8,Segeberg – Stormarn-Mitte,Direktwahl,
38,11003742,Michael Brand,19.11.1973,männlich,CDU,"Angestellter, Pressesprecher",173,Fulda,Direktwahl,molcher.bsky.social
95,11004262,Michael Donth,08.06.1967,männlich,CDU,Bürgermeister a. D.,289,Reutlingen,Direktwahl,
496,11005488,Michael Hose,28.09.1984,männlich,CDU,Schulleiter/ Gymnasiallehrer,192,Erfurt – Weimar – Weimarer Land II,Landesliste,mgsing66.bsky.social
503,11005495,Nicklas Kappe,11.11.1996,männlich,CDU,Chemieingenieur,124,Bottrop – Recklinghausen III,Direktwahl,
401,11005266,Nicolas Zippelius,01.08.1987,männlich,CDU,MdB,272,Karlsruhe-Land,Direktwahl,zippelius.bsky.social
150,11004437,Nina Warken,15.05.1979,weiblich,CDU,Rechtsanwältin,276,Odenwald – Tauber,Direktwahl,
589,11005582,Nora Seitz,10.05.1984,weiblich,CDU,Fleischermeisterin,161,Chemnitz,Landesliste,
161,11004655,Norbert Maria Altenkamp,27.07.1972,männlich,CDU,Dipl.-Volkswirt,180,Main-Taunus,Direktwahl,
19,11003544,Olav Gutting,14.10.1970,männlich,CDU,"Rechtsanwalt, Fachanwalt für Erbrecht",278,Bruchsal – Schwetzingen,Direktwahl,
553,11005545,Oliver Pöpsel,06.04.1973,männlich,CDU,Versicherungsfachmann,145,Soest,Direktwahl,
559,11005551,Pascal Reddig,10.04.1995,männlich,CDU,Rechtsanwalt,179,Hanau,Direktwahl,
24,11003582,Patricia Lips,21.12.1963,weiblich,CDU,Handelsfachwirtin,186,Odenwald,Direktwahl,
82,11004146,Patrick Schnieder,01.05.1968,männlich,CDU,Bürgermeister a. D.,201,Bitburg,Direktwahl,
247,11004938,Paul Ziemiak,06.09.1985,männlich,CDU,Generalsekretär der CDU NRW,149,Märkischer Kreis II,Direktwahl,
57,11004010,Peter Beyer,25.12.1970,männlich,CDU,Rechtsanwalt,104,Mettmann II,Direktwahl,
495,11005487,Philip M. A. Hoffmann,21.11.1988,männlich,CDU,Ökonom,297,Saarlouis,Direktwahl,
162,11004656,Philipp Amthor,10.11.1992,männlich,CDU,Jurist,16,Mecklenburgische Seenplatte I – Vorpommern-Greifswald II ,Landesliste,
23,11003574,Prof. Dr. Günter Krings,07.08.1969,männlich,CDU,Jurist,108,Mönchengladbach,Direktwahl,
595,11005588,Prof. Dr. Hendrik Streeck,07.08.1977,männlich,CDU,Universitätsprofessor,95,Bonn,Direktwahl,
493,11005485,Prof. Dr. Matthias Hiller,08.01.1985,männlich,CDU,Steuerberater und Hochschullehrer,262,Nürtingen,Direktwahl,
60,11004021,Ralph Brinkhaus,15.06.1968,männlich,CDU,Steuerberater,130,Gütersloh I,Direktwahl,
70,11004068,Roderich Kiesewetter,11.09.1963,männlich,CDU,Oberst a. D. / Diplom-Kaufmann (univ.),270,Aalen – Heidenheim,Direktwahl,rodki.bsky.social
599,11005592,Roland Theis,17.03.1980,männlich,CDU,Jurist,298,St. Wendel,Direktwahl,
157,11004617,Ronja Schmitt,03.05.1989,weiblich,CDU,Volkswirtin,291,Ulm,Direktwahl,
444,11005436,Sandra Carstensen,02.10.1971,weiblich,CDU,Juristin,6,Plön – Neumünster,Direktwahl,
421,11005413,Sascha Beek,16.06.1983,männlich,CDU,Gesundheits- und Krankenpfleger,112,Wesel I,Direktwahl,
579,11005571,Sebastian Schmidt,08.08.1993,männlich,CDU,"Bankkaufmann, staatl. geprüfter Betriebswirt",9,Ostholstein – Stormarn-Nord,Direktwahl,flippedmathe.bsky.social
143,11004417,Sebastian Steineke,19.06.1973,männlich,CDU,Rechtsanwalt,56,Prignitz – Ostprignitz-Ruppin – Havelland I,Landesliste,sebastiansteineke.bsky.social
212,11004832,Sepp Müller,22.01.1989,männlich,CDU,Dipl.-Bankbetriebswirt Frankfurt School of Finance and Management,70,Anhalt – Dessau – Wittenberg,Landesliste,
294,11005072,Serap Güler,07.07.1980,weiblich,CDU,Beamtin,92,Köln I,Landesliste,serapgueler.bsky.social
172,11004681,Silvia Breher,23.07.1973,weiblich,CDU,Volljuristin,32,Cloppenburg – Vechta,Direktwahl,
268,11005030,Simone Borchardt,11.09.1967,weiblich,CDU,Gesundheitsökonomin,13,Ludwigslust-Parchim II–Nordwestmecklenbg II–Landkr. RostockI,Landesliste,
226,11004867,Stefan Rouenhoff,23.12.1978,männlich,CDU,,111,Kleve,Direktwahl,
58,11004011,Steffen Bilger,16.02.1979,männlich,CDU,Volljurist,265,Ludwigsburg,Direktwahl,
89,11004241,Stephan Albani,03.06.1968,männlich,CDU,Dipl.-Physiker,27,Oldenburg – Ammerland,Landesliste,
37,11003734,Thomas Bareiß,15.02.1975,männlich,CDU,Dipl.-Betriebswirt,295,Zollernalb – Sigmaringen,Direktwahl,
68,11004061,Thomas Jarzombek,28.04.1973,männlich,CDU,IT-Berater,105,Düsseldorf I,Direktwahl,
5,11002754,Thomas Rachel,17.05.1962,männlich,CDU,Politikwissenschaftler,89,Düren,Direktwahl,math-rachel.bsky.social
361,11005193,Thomas Röwekamp,18.09.1966,männlich,CDU,"Rechtsanwalt, Notar",54,Bremen I,Landesliste,
